"('Knick Knack',)","('1989',)","('G',)","('4 min',)","(['Animation', 'Short', 'Comedy'],)","('7.4',)","('A snow globe snowman wants to join the other travel souvenirs in a hot party, but the glass dome that surrounds him gets in his way, despite all his efforts.',)",,,"13,420"
"('Luxo Jr.',)","('1986',)","('G',)","('2 min',)","(['Animation', 'Short', 'Family'],)","('7.3',)","(""A larger lamp watches while a smaller, younger lamp plays exuberantly with a ball but doesn't pick up the knack of correct handling."",)",,,"13,405"
"(""Boundin'"",)","('2003',)","('G',)","('5 min',)","(['Animation', 'Short', 'Comedy'],)","('6.9',)","(""A sheep dances proudly in his southwestern landscape, until one day his wool is sheared and he is left naked. He's depressed and shy, until a cheerful jackalope comes along and shows him how to leap proudly and not to be ashamed."",)",,,"13,146"
"('Meshes of the Afternoon',)","('1943',)","('Not Rated',)","('14 min',)","(['Short', 'Fantasy', 'Mystery'],)","('7.9',)","('A woman returning home falls asleep and has vivid dreams that may or may not be happening in reality. Through repetitive images and complete mismatching of the objective view of time and space, her dark inner desires play out on-screen.',)",,"(['Maya Deren', 'Alexander Hammid'],)","11,801"
"(""Olaf's Frozen Adventure"",)","('2017',)","('G',)","('22 min',)","(['Animation', 'Short', 'Adventure'],)","('5.6',)","('A Christmas-themed special featuring characters from Walt Disney Pictures\' 53rd full-length animated motion picture, ""Frozen (2013)"".',)",,"(['Josh Gad', 'Idina Menzel', 'Kristen Bell', 'Jonathan Groff'],)","11,751"
"('If Anything Happens I Love You',)","('2020',)","('PG',)","('13 min',)","(['Animation', 'Short', 'Drama'],)","('7.8',)","('In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.',)",,,"11,633"
"('Six Shooter',)","('2004',)","('Not Rated',)","('27 min',)","(['Short', 'Comedy', 'Drama'],)","('7.5',)","('A black and bloody Irish comedy about a sad train journey where an older man, whose wife has died that morning, encounters a strange and possibly psychotic young oddball....',)","('Martin McDonagh',)","(['Brendan Gleeson', 'Rúaidhrí Conroy', 'David Wilmot', ""Aisling O'Sullivan""],)","11,496"
"('Frankenweenie',)","('1984',)","('PG',)","('29 min',)","(['Short', 'Comedy', 'Drama'],)","('7.3',)","('A young boy sets out to revive his dead pet using the monstrous power of science.',)","('Tim Burton',)","(['Shelley Duvall', 'Daniel Stern', 'Barret Oliver', 'Joseph Maher'],)","11,496"
"(""Mickey's Christmas Carol"",)","('1983',)","('G',)","('26 min',)","(['Animation', 'Short', 'Comedy'],)","('8.0',)","('The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.',)","('Burny Mattinson',)","(['Alan Young', 'Wayne Allwine', 'Hal Smith', 'Will Ryan'],)","10,995"
"('The Arrival of a Train',)","('1896',)","('Not Rated',)","('1 min',)","(['Documentary', 'Short'],)","('7.4',)","('A train arrives at La Ciotat station.',)",,"(['Madeleine Koehler', 'Marcel Koehler', 'Mrs. Auguste Lumiere', 'Jeanne-Joséphine Lumière'],)","10,862"
"('What Did Jack Do?',)","('2017',)","('TV-14',)","('17 min',)","(['Short', 'Comedy', 'Crime'],)","('6.5',)","('In a locked down train station, a homicide detective conducts an interview with a tormented monkey.',)","('David Lynch',)","(['Jack Cruz', 'David Lynch', 'Toototabon', 'Emily Stofle'],)","10,857"
"('Burn-E',)","('2008',)","('G',)","('8 min',)","(['Animation', 'Short', 'Adventure'],)","('7.7',)","(""If BURN-E (a welding robot) had known how much trouble he'd be caused by WALL-E's pursuit of EVE, then he'd have taken the day off."",)","('Angus MacLane',)","(['Angus MacLane', 'Tessa Swigart', 'Ben Burtt', 'Jeff Garlin'],)","10,536"
"('The House of Small Cubes',)","('2008',)",,"('12 min',)","(['Animation', 'Short', 'Drama'],)","('8.2',)","('To save his house from rising flood waters, an old man uses bricks to build it higher, then he relives events from his past while searching for his dropped pipe.',)","('Kunio Kato',)",,"10,484"
"('Cashback',)","('2004',)",,"('18 min',)","(['Short', 'Comedy', 'Drama'],)","('7.7',)","('Ben is an art college student in London, whose imagination runs wild as he works the late-night shift at the local supermarket. What do he and his colleagues do to pass the long, endless hours of the night?',)","('Sean Ellis',)","(['Sean Biggerstaff', 'Emilia Fox', 'Stuart Goodwin', 'Michael Dixon'],)","10,299"
"('Two Distant Strangers',)","('2020',)","('Not Rated',)","('32 min',)","(['Short', 'Drama', 'Sci-Fi'],)","('6.9',)","('A man trying to get home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.',)",,"(['Joey Bada$$', 'Andrew Howard', 'Zaria', 'Mona Sishodia'],)","9,994"
"('Tin Toy',)","('1988',)","('G',)","('5 min',)","(['Animation', 'Short', 'Family'],)","('6.5',)","('A tin one-man-band toy tries to escape a destructive baby.',)",,,"9,953"
"('Anima',)","('I) (2019',)",,"('15 min',)","(['Short', 'Music'],)","('7.7',)","('In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead scores and stars in a mind-bending visual piece. Best played loud.',)","('Paul Thomas Anderson',)","(['Thom Yorke', 'Dajana Roncione', 'Frida Dam Seidel', 'Joseba Yerro Izaguirre'],)","9,799"
"('Simon of the Desert',)","('1965',)","('Not Rated',)","('43 min',)","(['Short', 'Comedy', 'Drama'],)","('8.0',)","('Simon, a deeply religious man living in the 4th century, wants to be nearer to God so he climbs a column. The Devil wants him to come down to Earth and is trying to seduce him.',)","('Luis Buñuel',)","(['Claudio Brook', 'Silvia Pinal', 'Enrique Álvarez Félix', 'Hortensia Santoveña'],)","9,552"
"(""What's Opera, Doc?"",)","('1957',)","('Approved',)","('7 min',)","(['Animation', 'Short', 'Comedy'],)","('8.3',)","(""Elmer Fudd is again hunting rabbits - only this time it's an opera. Wagner's Siegfried with Elmer as the titular hero and Bugs as Brunnhilde. They sing, they dance, they eat the scenery."",)","('Chuck Jones',)","(['Mel Blanc', 'Arthur Q. Bryan'],)","9,435"
"('Saw',)","('2003',)","('Not Rated',)","('9 min',)","(['Short', 'Horror', 'Thriller'],)","('7.6',)","('David, an orderly at a hospital, tells his horrific story of being kidnapped and forced to play a vile game of survival.',)","('James Wan',)","(['Leigh Whannell', 'Paul Moder', 'Katrina Mathers', 'Dean Francis'],)","9,313"
